1748799723.159909  2469 execve(0xffffdd66c0f0, 0xaaaafdd703f0, 0xffffdd66cac0, 0xffffdd66c0f0, 0xaaaafdd704c8, 0xffffdd66c10d)
1748799723.160270  2469 execve(0xfffffffffffffffe, 0xaaaafdd703f0, 0xffffdd66cac0, 0xffffdd66c0f0, 0xaaaafdd704c8, 0xffffdd66c10d)
1748799723.160370  2469 execve(0xffffdd66c0f0, 0xaaaafdd703f0, 0xffffdd66cac0, 0xffffdd66c0f0, 0xaaaafdd704c8, 0xffffdd66c108)
1748799723.160466  2469 execve(0xfffffffffffffffe, 0xaaaafdd703f0, 0xffffdd66cac0, 0xffffdd66c0f0, 0xaaaafdd704c8, 0xffffdd66c108)
1748799723.160546  2469 execve(0xffffdd66c0f0, 0xaaaafdd703f0, 0xffffdd66cac0, 0xffffdd66c0f0, 0xaaaafdd704c8, 0xffffdd66c107)
1748799723.160631  2469 execve(0xfffffffffffffffe, 0xaaaafdd703f0, 0xffffdd66cac0, 0xffffdd66c0f0, 0xaaaafdd704c8, 0xffffdd66c107)
1748799723.160728  2469 execve(0xffffdd66c0f0, 0xaaaafdd703f0, 0xffffdd66cac0, 0xffffdd66c0f0, 0xaaaafdd704c8, 0xffffdd66c102)
1748799723.160917  2469 execve(0xfffffffffffffffe, 0xaaaafdd703f0, 0xffffdd66cac0, 0xffffdd66c0f0, 0xaaaafdd704c8, 0xffffdd66c102)
1748799723.160993  2469 execve(0xffffdd66c0f0, 0xaaaafdd703f0, 0xffffdd66cac0, 0xffffdd66c0f0, 0xaaaafdd704c8, 0xffffdd66c101)
1748799723.162982  2469 io_setup(0x0, 0x0, 0x0, 0x0, 0x0, 0x0)
1748799723.163181  2469 brk(0x0, 0x0, 0x4d, 0xffffa5770970, 0x4d, 0xffffa5784e30)
1748799723.163255  2469 brk(0x211be000, 0x0, 0x4d, 0xffffa5770970, 0x4d, 0xffffa5784e30)
1748799723.163940  2469 faccessat(0xffffffffffffff9c, 0xffffa576e5e8, 0x4, 0x314f8, 0x6474e552, 0x150)
1748799723.164030  2469 faccessat(0xfffffffffffffffe, 0xffffa576e5e8, 0x4, 0x314f8, 0x6474e552, 0x150)
1748799723.164708  2469 openat(0xffffffffffffff9c, 0xffffa5770568, 0x80000, 0x0, 0xffffa57865e8, 0x8000000000000000)
1748799723.164797  2469 openat(0x3, 0xffffa5770568, 0x80000, 0x0, 0xffffa57865e8, 0x8000000000000000)
1748799723.164871  2469 fstat(0x3, 0xffffe1349a10, 0xffffe1349a10, 0x3, 0xffffa57865e8, 0x8000000000000000)
1748799723.164950  2469 fstat(0x0, 0xffffe1349a10, 0xffffe1349a10, 0x3, 0xffffa57865e8, 0x8000000000000000)
1748799723.165039  2469 mmap(0x0, 0x2bcb, 0x1, 0x2, 0x3, 0x0)
1748799723.165157  2469 mmap(0xffffa577e000, 0x2bcb, 0x1, 0x2, 0x3, 0x0)
1748799723.165259  2469 close(0x3, 0x2bcb, 0x1, 0x2, 0x3, 0x0)
1748799723.165349  2469 close(0x0, 0x2bcb, 0x1, 0x2, 0x3, 0x0)
1748799723.165439  2469 openat(0xffffffffffffff9c, 0xffffa5786ec0, 0x80000, 0x0, 0xffffe1349ba7, 0x0)
1748799723.165528  2469 openat(0x3, 0xffffa5786ec0, 0x80000, 0x0, 0xffffe1349ba7, 0x0)
1748799723.165603  2469 read(0x3, 0xffffe1349bc0, 0x340, 0x0, 0xffffe1349ba7, 0x0)
1748799723.165682  2469 read(0x340, 0xffffe1349bc0, 0x340, 0x0, 0xffffe1349ba7, 0x0)
1748799723.165848  2469 fstat(0x3, 0xffffe1349a60, 0xffffe1349a60, 0x3, 0xffffa5786ec0, 0xffffa5786200)
1748799723.165940  2469 fstat(0x0, 0xffffe1349a60, 0xffffe1349a60, 0x3, 0xffffa5786ec0, 0xffffa5786200)
1748799723.166015  2469 mmap(0x0, 0x2000, 0x3, 0x22, 0xffffffffffffffff, 0x0)
1748799723.166097  2469 mmap(0xffffa577c000, 0x2000, 0x3, 0x22, 0xffffffffffffffff, 0x0)
1748799723.166177  2469 mmap(0x0, 0x30400, 0x5, 0x802, 0x3, 0x0)
1748799723.166262  2469 mmap(0xffffa5722000, 0x30400, 0x5, 0x802, 0x3, 0x0)
1748799723.166332  2469 mprotect(0xffffa573e000, 0xf000, 0x0, 0x2b000, 0x3, 0x0)
1748799723.166418  2469 mprotect(0x0, 0xf000, 0x0, 0x2b000, 0x3, 0x0)
1748799723.166506  2469 mmap(0xffffa574d000, 0x2000, 0x3, 0x812, 0x3, 0x1b000)
1748799723.166594  2469 mmap(0xffffa574d000, 0x2000, 0x3, 0x812, 0x3, 0x1b000)
1748799723.166673  2469 mmap(0xffffa574f000, 0x3400, 0x3, 0x32, 0xffffffffffffffff, 0x0)
1748799723.166809  2469 mmap(0xffffa574f000, 0x3400, 0x3, 0x32, 0xffffffffffffffff, 0x0)
1748799723.166931  2469 close(0x3, 0xffffa5785060, 0x0, 0x6, 0xffffa5722280, 0xffffffff90000000)
1748799723.167008  2469 close(0x0, 0xffffa5785060, 0x0, 0x6, 0xffffa5722280, 0xffffffff90000000)
1748799723.167087  2469 openat(0xffffffffffffff9c, 0xffffa577c510, 0x80000, 0x0, 0xffffe1349b87, 0x0)
1748799723.167170  2469 openat(0x3, 0xffffa577c510, 0x80000, 0x0, 0xffffe1349b87, 0x0)
1748799723.167239  2469 read(0x3, 0xffffe1349ba0, 0x340, 0x0, 0xffffe1349b87, 0x0)
1748799723.167313  2469 read(0x340, 0xffffe1349ba0, 0x340, 0x0, 0xffffe1349b87, 0x0)
1748799723.167383  2469 fstat(0x3, 0xffffe1349a40, 0xffffe1349a40, 0x3, 0xffffa577c510, 0xffffa5786200)
1748799723.167457  2469 fstat(0x0, 0xffffe1349a40, 0xffffe1349a40, 0x3, 0xffffa577c510, 0xffffa5786200)
1748799723.167529  2469 mmap(0x0, 0x13100, 0x5, 0x802, 0x3, 0x0)
1748799723.167608  2469 mmap(0xffffa570e000, 0x13100, 0x5, 0x802, 0x3, 0x0)
1748799723.167693  2469 mprotect(0xffffa5711000, 0xf000, 0x0, 0x12000, 0x3, 0x0)
1748799723.167770  2469 mprotect(0x0, 0xf000, 0x0, 0x12000, 0x3, 0x0)
1748799723.167853  2469 mmap(0xffffa5720000, 0x2000, 0x3, 0x812, 0x3, 0x2000)
1748799723.167942  2469 mmap(0xffffa5720000, 0x2000, 0x3, 0x812, 0x3, 0x2000)
1748799723.168052  2469 close(0x3, 0xffffa5785060, 0xffffa577c580, 0x6, 0xffffa570e210, 0xffffffff90000000)
1748799723.168137  2469 close(0x0, 0xffffa5785060, 0xffffa577c580, 0x6, 0xffffa570e210, 0xffffffff90000000)
1748799723.168219  2469 openat(0xffffffffffffff9c, 0xffffa577ca50, 0x80000, 0x0, 0xffffe1349b67, 0x0)
1748799723.168311  2469 openat(0x3, 0xffffa577ca50, 0x80000, 0x0, 0xffffe1349b67, 0x0)
1748799723.168377  2469 read(0x3, 0xffffe1349b80, 0x340, 0x0, 0xffffe1349b67, 0x0)
1748799723.168443  2469 read(0x340, 0xffffe1349b80, 0x340, 0x0, 0xffffe1349b67, 0x0)
1748799723.168507  2469 fstat(0x3, 0xffffe1349a20, 0xffffe1349a20, 0x3, 0xffffa577ca50, 0xffffa5786200)
1748799723.168576  2469 fstat(0x0, 0xffffe1349a20, 0xffffe1349a20, 0x3, 0xffffa577ca50, 0xffffa5786200)
1748799723.168649  2469 mmap(0x0, 0x13120, 0x5, 0x802, 0x3, 0x0)
1748799723.168737  2469 mmap(0xffffa56fa000, 0x13120, 0x5, 0x802, 0x3, 0x0)
1748799723.168796  2469 mprotect(0xffffa56fc000, 0x10000, 0x0, 0x12000, 0x3, 0x0)
1748799723.168873  2469 mprotect(0x0, 0x10000, 0x0, 0x12000, 0x3, 0x0)
1748799723.168943  2469 mmap(0xffffa570c000, 0x2000, 0x3, 0x812, 0x3, 0x2000)
1748799723.169024  2469 mmap(0xffffa570c000, 0x2000, 0x3, 0x812, 0x3, 0x2000)
1748799723.169114  2469 close(0x3, 0xffffa5785060, 0xffffa577cac0, 0x6, 0xffffa56fa210, 0xffffffff90000000)
1748799723.169184  2469 close(0x0, 0xffffa5785060, 0xffffa577cac0, 0x6, 0xffffa56fa210, 0xffffffff90000000)
1748799723.169266  2469 openat(0xffffffffffffff9c, 0xffffa577cf90, 0x80000, 0x0, 0xffffe1349b47, 0x0)
1748799723.169347  2469 openat(0x3, 0xffffa577cf90, 0x80000, 0x0, 0xffffe1349b47, 0x0)
1748799723.169417  2469 read(0x3, 0xffffe1349b60, 0x340, 0x0, 0xffffe1349b47, 0x0)
1748799723.169491  2469 read(0x340, 0xffffe1349b60, 0x340, 0x0, 0xffffe1349b47, 0x0)
1748799723.169563  2469 fstat(0x3, 0xffffe1349a00, 0xffffe1349a00, 0x3, 0xffffa577cf90, 0xffffa5786200)
1748799723.169635  2469 fstat(0x0, 0xffffe1349a00, 0xffffe1349a00, 0x3, 0xffffa577cf90, 0xffffa5786200)
1748799723.169711  2469 mmap(0x0, 0xaa080, 0x5, 0x802, 0x3, 0x0)
1748799723.169779  2469 mmap(0xffffa564f000, 0xaa080, 0x5, 0x802, 0x3, 0x0)
1748799723.169850  2469 mprotect(0xffffa56e8000, 0x10000, 0x0, 0xa9000, 0x3, 0x0)
1748799723.169925  2469 mprotect(0x0, 0x10000, 0x0, 0xa9000, 0x3, 0x0)
1748799723.169995  2469 mmap(0xffffa56f8000, 0x2000, 0x3, 0x812, 0x3, 0x99000)
1748799723.170073  2469 mmap(0xffffa56f8000, 0x2000, 0x3, 0x812, 0x3, 0x99000)
1748799723.170156  2469 close(0x3, 0xffffa5785060, 0xffffa577d000, 0x6, 0xffffa564f210, 0xffffffff90000000)
1748799723.170227  2469 close(0x0, 0xffffa5785060, 0xffffa577d000, 0x6, 0xffffa564f210, 0xffffffff90000000)
1748799723.170305  2469 openat(0xffffffffffffff9c, 0xffffa577d4d0, 0x80000, 0x0, 0xffffe1349b27, 0x0)
1748799723.170429  2469 openat(0x3, 0xffffa577d4d0, 0x80000, 0x0, 0xffffe1349b27, 0x0)
1748799723.170501  2469 read(0x3, 0xffffe1349b40, 0x340, 0x0, 0xffffe1349b27, 0x0)
1748799723.171163  2469 read(0x340, 0xffffe1349b40, 0x340, 0x0, 0xffffe1349b27, 0x0)
1748799723.171235  2469 fstat(0x3, 0xffffe13499e0, 0xffffe13499e0, 0x3, 0xffffa577d4d0, 0xffffa5786200)
1748799723.171309  2469 fstat(0x0, 0xffffe13499e0, 0xffffe13499e0, 0x3, 0xffffa577d4d0, 0xffffa5786200)
1748799723.171383  2469 mmap(0x0, 0x370a8, 0x5, 0x802, 0x3, 0x0)
1748799723.171460  2469 mmap(0xffffa5617000, 0x370a8, 0x5, 0x802, 0x3, 0x0)
1748799723.171606  2469 mprotect(0xffffa563c000, 0x10000, 0x0, 0x35000, 0x3, 0x0)
1748799723.171675  2469 mprotect(0x0, 0x10000, 0x0, 0x35000, 0x3, 0x0)
1748799723.171744  2469 mmap(0xffffa564c000, 0x3000, 0x3, 0x812, 0x3, 0x25000)
1748799723.171921  2469 mmap(0xffffa564c000, 0x3000, 0x3, 0x812, 0x3, 0x25000)
1748799723.172507  2469 close(0x3, 0xffffa5785060, 0xffffa577d540, 0x6, 0xffffa56171f0, 0xffffffff90000000)
1748799723.172571  2469 close(0x0, 0xffffa5785060, 0xffffa577d540, 0x6, 0xffffa56171f0, 0xffffffff90000000)
1748799723.172692  2469 openat(0xffffffffffffff9c, 0xffffa577da10, 0x80000, 0x0, 0xffffe1349b07, 0x0)
1748799723.172775  2469 openat(0x3, 0xffffa577da10, 0x80000, 0x0, 0xffffe1349b07, 0x0)
1748799723.172846  2469 read(0x3, 0xffffe1349b20, 0x340, 0x0, 0xffffe1349b07, 0x0)
1748799723.172925  2469 read(0x340, 0xffffe1349b20, 0x340, 0x0, 0xffffe1349b07, 0x0)
1748799723.172998  2469 fstat(0x3, 0xffffe13499c0, 0xffffe13499c0, 0x3, 0xffffa577da10, 0xffffa5786200)
